STUSPS,NAME,2020 Anti-American Indian or Alaska Native Hate Crime Rate,2020 Anti-Asian Hate Crime Rate,2020 Anti-Black or African American Hate Crime Rate,2020 Anti-Hispanic or Latino Hate Crime Rate,2020 Anti-White Hate Crime Rate,2020 Total Hate Crime Rate,2019 Anti-American Indian or Alaska Native Hate Crime Rate,2019 Anti-Asian Hate Crime Rate,2019 Anti-Black or African American Hate Crime Rate,2019 Anti-Hispanic or Latino Hate Crime Rate,2019 Anti-White Hate Crime Rate,2019 Total Hate Crime Rate,2018 Anti-American Indian or Alaska Native Hate Crime Rate,2018 Anti-Asian Hate Crime Rate,2018 Anti-Black or African American Hate Crime Rate,2018 Anti-Hispanic or Latino Hate Crime Rate,2018 Anti-White Hate Crime Rate,2018 Total Hate Crime Rate,2017 Anti-American Indian or Alaska Native Hate Crime Rate,2017 Anti-Asian Hate Crime Rate,2017 Anti-Black or African American Hate Crime Rate,2017 Anti-Hispanic or Latino Hate Crime Rate,2017 Anti-White Hate Crime Rate,2017 Total Hate Crime Rate,2016 Anti-American Indian or Alaska Native Hate Crime Rate,2016 Anti-Asian Hate Crime Rate,2016 Anti-Black or African American Hate Crime Rate,2016 Anti-Hispanic or Latino Hate Crime Rate,2016 Anti-White Hate Crime Rate,2016 Total Hate Crime Rate,2015 Anti-American Indian or Alaska Native Hate Crime Rate,2015 Anti-Asian Hate Crime Rate,2015 Anti-Black or African American Hate Crime Rate,2015 Anti-Hispanic or Latino Hate Crime Rate,2015 Anti-White Hate Crime Rate,2015 Total Hate Crime Rate
MS,Mississippi,0,6.724497344,1.24605601,2.119946577,0.5204258471,0.9054826977,14.01639919,10.13342341,0.4441984572,0,0.05736520468,0.3685810768,0,3.531946456,0,0,0.2284157143,0.1672933475,0,0,0.3563233135,0,0,0.1339486039,7.6499388,0,0.08918005185,0,0,0.06690771285,,,,,,
MO,Missouri,8.239268353,2.423067604,12.74993088,1.522782733,0.3816758624,1.943123628,0,3.315265138,6.131172879,1.569914165,0.09968292854,0.9664352136,3.710299792,0.8567511995,5.53273107,1.60574858,0.3194670013,1.001631839,0,3.541107836,8.960815633,4.909581867,0.5994560536,1.794150083,7.8000078,0,5.983792471,0.4214359165,0.7398705227,1.353213246,0,1.877282071,9.612322136,0.4290998344,0.6806088727,1.720302614
MT,Montana,6.104726585,0,202.7369488,0,0,1.507009951,2.992264995,24.21600678,188.5725061,0,0.5375165018,2.189123104,1.486127004,0,21.59827214,0,0,0.1919879585,2.991101473,0,202.7940514,2.730300879,0.3272736793,1.456505823,1.487608223,0,23.4741784,0,0.7676221369,0.8794292699,0,0,84.08660921,0,2.762501146,2.857990399
NE,Nebraska,5.925925926,212.7482062,23.94010621,4.18698128,2.802731567,9.356355512,11.31669779,0,11.90398892,5.281580249,1.079867608,2.193702924,0,0,13.20713185,0.4919298902,0.9601173263,1.522501523,0,0,18.9482601,0,0.2404406797,1.108810769,0,2.512941649,14.7078789,4.170967977,0.1811913695,1.328897297,0,2.627016235,6.803106752,0.5368608671,0,0.4279528075
NV,Nevada,2.651464934,2.774320886,16.2703999,1.826905291,3.083387558,4.224030709,0,1.238303194,7.748934522,0.3516829789,0.3590283053,1.143863743,0,0,3.063690292,0.3607516622,0.258384179,0.5474111047,0,0,0.7904732168,0,0.1032816185,0.138517345,0,0.898424164,6.56943897,0.2530053877,0.8277045116,1.267975311,0,0,11.45421918,0.7786615586,0.4145805921,1.464999378
NH,New Hampshire,0,8.20097865,52.26894749,0,0.1604361296,1.180599213,49.11591356,2.763957988,18.56493085,1.980472541,0.2395921184,0.7417715284,0,0,29.24546695,0,0.159998208,0.595405553,0,0,69.77243452,2.209163611,0,1.051171004,0,3.115847199,142.9960533,2.298850575,0.08041209591,2.109223105,0,6.376737661,40.13991628,0,0,0.6796551279
NJ,New Jersey,0,5.828368535,46.8192734,4.18714788,0.9278116171,8.31699758,0,3.570714429,26.11136497,2.395895552,0.5483481925,4.708000887,16.08665344,2.162414119,17.88155392,1.244329815,0.1657894471,3.006132172,11.10740864,1.066218065,16.48229685,0.623398998,0.2300560318,2.62272073,5.414185165,1.098622084,8.449157197,0.6395977279,0.197507781,1.514224286,0,0.7453517998,11.06213092,0.4146899778,0.2136773209,1.785631462
NM,New Mexico,0,0,62.10322937,0.9691913455,1.158157276,2.622768203,1.000775601,0,31.73164098,1.077568262,0.9582423535,2.007212584,1.500780406,3.173293561,25.57782635,0.6891452728,0.1282967452,1.146989582,0.507122536,0,2.370398464,0.5975482595,0,0.3837247006,0,0,14.30035513,0,0.1306646388,0.384122489,0,3.476930566,11.43170698,0.3039599908,0,0.43183756
NY,New York,0,1.791883485,4.063414581,0.2687661243,0.1726967293,0.9377474558,0,0.4855529781,2.935927301,0.456868521,0.3290612356,0.7970440294,0,0.4906948914,3.031192931,0.350821516,0.1997611017,0.7085166195,0,0.6655187477,3.515352253,0.3488773396,0.1424186855,0.7626945199,0,0.6878370401,2.505468103,0.2457721054,0.1973567926,0.6193692922,0,0.8279078831,2.507823105,0.5249114695,0.1101959859,0.6252168562
NC,North Carolina,1.662897432,0.6473371785,7.215260999,3.430701346,1.296399159,2.782531135,1.613527817,2.047837484,5.134587536,2.285322516,0.6383052061,1.831488271,0.8240490474,1.062834793,3.073927498,0.9615898285,0.6004941209,1.201304814,0.8474719911,0,3.750995056,1.639717007,0.5909938874,1.372784098,0,1.178550383,3.415794352,0.5651230895,0.5230342086,1.176964333,0,1.638833806,3.309163831,2.414048382,0.6286705037,1.401679354
ND,North Dakota,2.55330014,0,41.73796903,19.7856554,0.6139960397,2.761726158,4.999250112,9.085953116,45.48555834,3.53144754,0.1526400625,1.982246996,0,0,14.67351431,0,0.1526093141,0.5317727575,5.062394006,0,40.31097034,0,0,1.207283946,5.212541375,0,27.09843507,8.696786537,0.4617302572,1.494236323,13.05960403,0,84.23180593,68.06359084,2.030590058,5.820076492
OH,Ohio,102.7296742,2.234412182,10.67476285,3.261302042,1.468885493,2.869311429,96.42356241,2.323789015,5.877500444,2.93179076,0.5170932563,1.604406954,127.3182532,1.601659319,7.926183591,2.550269285,0.7587067927,1.984215778,100.5852231,1.695791892,10.01239296,5.307727569,0.8102040252,2.308403381,368.1439023,1.336183859,11.11155651,3.990701665,1.166026893,3.16735884,318.7655918,2.312994403,10.26879455,1.534644602,0.8072693663,2.608851071
OK,Oklahoma,1.975042052,0,11.81146129,1.622372047,0.4982573449,1.544561094,0,0,4.539803601,0.239288261,0.0351608786,0.3814008599,0.678711534,0,6.945433204,0.4907722547,0.2114334767,0.765670011,0,0,2.466343223,0.5064842648,0.07070713142,0.2823226738,1.397472671,0,4.976981461,0,0.1770853661,0.5934581815,2.148412323,1.341021859,7.897448047,0.8076261445,0.2132352262,0.9870814418
OR,Oregon,17.51198476,2.129914111,168.1054641,6.156308677,0.7538239896,5.100152143,2.080732418,6.091482999,74.98824337,4.095179415,0.4883766361,2.663565308,4.258853091,0.573033064,64.27644011,3.053691531,0.2901971687,1.935352845,4.411894467,0.6011385564,75.96893133,4.121631302,0.08780206838,2.111734611,2.210775319,2.497580469,52.6941577,2.223093495,0.1475873163,1.506679487,0,0,56.29007235,1.853201715,0.1192982519,1.370825234
